omega,c1,c2,swarm,score,forced,leftover
2,2.2733768848219267,2.08307883224223,1.1369192007599824,64.0668622973408,87.194,7,0
2,2.236207254861496,2.006546606636721,1.5230207485974634,10.0,87.308,9,0
2,2.5,2.5,1.6398512101924223,16.917751862102573,88.318,4,0
2,2.346449866378816,0.6710211660359394,1.8103512550734304,60.79659027797132,76.69,9,0
2,2.5,2.5,1.1780101758561237,10.0,83.69800000000001,7,0
2,1.7073985152242288,1.9241996217388229,2.4410075220370526,100.0,94.71,3,0
1,2.5,0.893276754781489,1.1581429883843122,10.0,78.642,4,0
2,2.2190236183837118,2.5,1.6545861011187548,19.24054006335623,72.118,10,0
2,2.0272800278600007,2.1626130592895154,1.8488926222272712,57.99782320453108,81.984,6,0
2,0.3,2.0314162148997355,2.2124381919992597,56.69741195100269,89.622,6,0
2,2.343670715191697,2.163656559370973,0.9616312769589643,28.45784520306816,83.006,4,0
1,2.167399467786222,2.5,1.3112738119224598,81.0944989677983,87.12,3,0
0,2.40954639030425,1.540743880973896,0.43735601188141804,72.16181149924387,71.034,9,0
2,2.0966478148440633,2.5,1.2781050910239837,42.986467850341555,93.836,8,0
2,2.0724019622970364,1.2184068919049444,1.04006998845556,10.0,100.016,7,0
2,2.341319620819,1.6182031507911236,1.370682538505296,47.121645297473165,89.284,7,0
2,2.265407035234085,1.5242268130266468,1.8825838854674484,42.78115419864913,75.50200000000001,5,0
2,2.5,2.5,1.5461026770594348,20.83733334436195,77.01,7,0
1,2.2647622516911903,2.223234428405676,0.3073357753389805,67.91253785083116,89.782,3,0
2,2.4412127899568774,0.9156420065481434,1.3902091168211153,35.51105194341217,82.728,6,0
1,2.282456124727895,1.9759992633299392,1.970626752387455,66.37566851315015,73.456,7,0
1,2.249087197254295,2.5,1.3648776992638265,58.21292383485031,95.556,3,0
1,2.023387499022004,2.5,1.7041548664949455,25.44075225792516,79.32600000000001,4,0
2,2.5,2.5,2.2248808032332708,68.87794974663063,96.55,6,0
2,2.5,0.9770553910418258,2.5,26.291644383318967,91.872,5,0
2,2.3622216381614085,2.5,1.2426250534316905,38.306488279019504,88.72,7,0
0,2.3742569865028598,2.2731987994232745,1.077905758423745,24.857780227096917,85.81,6,0
2,2.4959069260030806,2.2977864668314307,1.5223105881583012,10.0,91.77,8,0
2,1.9056263148643906,1.9748825451608845,1.1803356691017595,48.73102517921517,92.568,4,0
2,1.9817169387773994,1.5503399934383388,0.7906559085757161,100.0,82.56400000000001,5,0
2,2.2881502661426896,1.7846548984958177,1.143551440061997,68.95853081344909,81.656,8,0
2,2.1098938907587614,2.480928230242697,1.59472630391843,56.08647883100971,94.48,2,0
2,2.1678227682074653,2.5,1.5863286175454197,37.29337613458509,86.44200000000001,6,0
2,2.5,2.5,1.4796223093652983,62.42922929584773,80.63,6,0
2,2.234580145975632,2.5,1.1477662293247712,45.9719420328209,76.17999999999999,7,0
2,0.9231079737999659,1.900085300809017,1.2614433712887525,100.0,84.41,8,0
1,1.1487920027057807,1.2890997300127363,1.3859799673072317,22.079002752646083,80.136,4,0
2,2.2965568195273507,2.5,1.5813752829003171,39.35558528296453,73.41,6,0
2,2.298014549106,2.1989740851111406,1.3661541612468326,52.552418903150944,101.174,10,0
2,0.679133804302311,1.5403388932102153,1.335868378907895,56.17296432229193,93.548,6,0
1,2.5,1.5784801449709862,1.2413496045491652,11.524206720588708,99.086,8,0
1,0.3,2.5,1.404121299164611,92.20733983260506,84.112,5,0
1,2.1196996878350465,2.049005016575432,1.0888430543063339,94.76053514062791,88.55799999999999,2,0
2,2.015218798383482,2.5,1.4075924211461737,55.69552890664744,99.96,7,0
2,1.882001886098666,0.8288469990626448,0.9540229575308828,62.19876153824291,90.654,7,0
2,2.122234515509103,2.26186241398763,1.3673466186871845,46.28088086004464,90.4,6,0
2,2.2694708876352228,2.5,1.686504163863737,38.698266876783165,87.688,5,0
2,2.3271850554154785,2.5,1.7895184462097422,13.072855440728475,106.744,7,0
1,2.045413232426503,0.9859330248627076,0.7203134087103347,74.1657753114797,95.356,4,0
2,2.302180253565722,1.3483437545944121,0.38905813172517023,84.00691963809885,96.44800000000001,6,0
1,2.412693193402958,0.7283719193447011,1.0148652766109691,94.31901240789531,77.77,4,0
2,2.109125883933537,2.5,1.4906939599348303,62.79123739282946,99.838,7,0
2,1.9136280121589466,2.5,1.1184712453304417,38.05557182611801,91.99600000000001,6,0
2,2.2312720296501367,2.5,1.9549755410268759,55.45745346260473,82.974,9,0
2,0.3,0.3,2.5,48.77299159788991,81.406,6,0
2,2.1875048789236264,2.5,1.1832707498840964,64.39944187325727,95.48,9,0
2,2.341492777725042,2.027125570534648,0.3239301529359352,46.40835772587941,85.05,7,0
2,2.2896373709714335,2.2061153274855885,0.4947079297667014,30.507051965845477,100.634,2,0
2,1.705191678935421,1.861501530346562,1.3968802958696422,40.163258097127894,78.02,6,0
2,1.7716967248231443,1.8114472140891213,1.57336269165948,39.63413995319466,99.97,6,0
2,2.3510174063331517,2.5,1.1141951288281182,57.80935678660181,86.048,6,0
2,2.2784006166600475,1.8272291705607768,1.373063993347563,88.10146035968978,92.918,6,0
1,2.314597066029365,2.4780658384494614,1.1017281265865948,47.9918280332006,95.632,8,0
2,1.7790015649197772,2.5,1.8819715287392744,64.75064503511196,80.154,9,0
2,2.092738485949721,2.5,1.0526859000647575,79.16256109913374,89.528,7,0
2,1.4168690654997809,2.2591884825357877,1.5272293026919468,82.94951706466472,92.312,7,0
2,1.5967333089096738,2.3047081168281136,1.078390159331438,49.44024207302155,82.97200000000001,8,0
2,2.07828422675091,2.5,1.356151894734644,51.584741468030565,82.044,7,0
2,2.4296272071218366,2.3816576936058675,0.939812611990472,38.75319470686299,102.518,4,0
2,1.5031771351028786,1.5749084527169182,1.1249898308497597,55.31436344697019,80.214,8,0
1,2.249978245266977,2.44053015504468,1.4210741848748376,32.454172621529914,77.714,7,0
2,0.6835937891842485,2.5,1.281271449364526,91.1283529214088,83.26,4,0
2,1.0544428623926052,0.57295350342635,0.9863905131830659,54.193017732065485,95.42399999999999,7,0
2,2.253058611310401,2.5,1.4720580320342094,58.03071232993262,81.10000000000001,8,0
2,2.3204365615988407,1.8854342291284318,1.2346515405314864,99.27660000995013,101.95,6,0
2,1.9916894613486704,2.5,1.2059919030802495,40.78410372887523,90.928,7,0
2,2.406350550218079,2.5,1.4711351991784973,43.33194063340103,89.514,4,0
2,1.9592350967260719,2.5,1.0029783545560218,100.0,85.872,8,0
2,2.016779913629141,1.9697509930392108,1.2815120016228627,69.04327909425533,99.68599999999999,5,0
2,2.188321708327204,2.5,0.4605215070671883,100.0,98.686,5,0
2,2.3420416042977554,1.5978410538092962,0.7942755339772866,29.905740971285482,86.712,5,0
2,2.1724450282176626,2.5,1.4800586904319117,42.66413166010325,83.558,5,0
2,2.2915772360608586,2.5,0.847884755628149,48.639854315233855,80.17,5,0
2,2.0806535124539853,2.5,1.7556748708447105,36.07359292064227,91.506,7,0
2,0.6482861307106831,1.782532142565675,2.452544103782923,51.166220257111064,83.022,5,0
2,2.169146504218883,2.5,1.1861375576191049,73.84295519851212,83.576,5,0
2,2.482686484669626,2.0903239221790666,0.3,52.479594887703165,84.162,2,0
2,2.1438722468935114,2.248118650151154,0.3,54.13964188623913,88.946,7,0
2,1.9652915467094314,1.852796502093967,1.1786203131722783,37.262742890841224,81.688,7,0
2,2.183722343786962,2.3340916297820495,2.014825492342303,10.0,105.394,7,0
