Id,R,Rm,Name,Team,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
5526,D,Dc,Scalvini,Atalanta,4,5.5,5.25,0,0,0,0,0,0,0,2,0,0
6551,D,Dc,Ilic M.,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
6407,D,Dd;Ds;E,Corazza,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
6636,D,Ds;Dc,Veroli,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
6654,D,Dd;E,Iovine,Como,7,5.64,5.5,0,0,0,0,0,0,0,2,0,0
6637,D,Dd;E,Kovacik,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
4386,D,Ds;E,Sala M.,Lecce,4,5.5,5.25,0,0,0,0,0,0,0,3,0,0
4438,D,Dd;Ds;E,Cassandro,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
5480,D,Dd;E,Ebuehi,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
6659,D,Dc,Lucchesi,Venezia,0,0,0,0,0,0,0,0,0,0,0,0,0
6235,D,Dd;Ds;E,Kayode,Fiorentina,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0
5533,D,Dd;Dc,Djalo',Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
4958,D,Ds;Dc,Caldirola,Monza,7,5.71,5.64,0,0,0,0,0,0,0,1,0,0
6638,D,Dc,Marin R.,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
142,D,E,Mario Rui,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
5481,D,E,Mazzocchi,Napoli,9,5.61,5.56,0,0,0,0,0,0,0,1,0,0
6663,D,Dc,Circati,Parma,4,5.75,5.62,0,0,0,0,0,0,0,1,0,0
5327,D,Dc,Osorio,Parma,3,5.17,5.17,0,0,0,0,0,0,0,0,0,0
2203,D,Ds;E,Di Chiara,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
6649,D,Dd;E,Sangare' B.,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
6474,D,Dc,Sazonov,Empoli,1,5,5,0,0,0,0,0,0,0,0,0,0
6041,D,Dc,Schuurs,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
5994,D,Ds;Dc,Ebosse,Udinese,2,5.5,5.25,0,0,0,0,0,0,0,1,0,0
6284,D,Dc,Okou,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
6639,D,Ds;E,Frese,Verona,5,5.7,5.7,0,0,0,0,0,0,0,0,0,0
6681,D,Dd;E,Sagrado,Venezia,3,5.5,5.33,0,0,0,0,0,0,0,1,0,0
6806,D,Dd;Ds;Dc,Pelmard,Lecce,2,5.75,5.5,0,0,0,0,0,0,0,1,0,0
6809,D,Dc,Marianucci,Empoli,3,5.33,5,0,0,0,0,0,0,0,0,1,0
6814,D,Dd;E,Norton-Cuffy,Genoa,3,5.5,5.5,0,0,0,0,0,0,0,0,0,0
6612,D,Dd;Dc,Dellavalle,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
6826,D,E,Dembele' A.,Torino,4,5.5,5.25,0,0,0,0,0,0,0,0,1,0
6149,D,Ds;E,Carboni F.,Venezia,3,5.83,5.67,0,0,0,0,0,0,0,1,0,0
2192,D,Dc,Bonifazi,Lecce,2,5.25,5.25,0,0,0,0,0,0,0,0,0,0
6874,D,Dc,Palacios T.,Monza,2,5,5,0,0,0,0,0,0,0,0,0,0
464,D,Dd;Ds;E,Florenzi,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
6944,D,Ds;Dc,Jack,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
6978,D,Dc,Lekovic,Monza,4,4.75,4.25,0,0,0,0,0,0,0,0,0,1
6989,D,Dc,Tiago Gabriel,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
7012,D,Dc,Provstgaard,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
7011,D,Dc,Slotsager,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
7031,D,Dc,Scott,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
7045,D,Dc,Luan Patrick,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
2423,C,T;A,Pulisic,Milan,21,6.43,7.38,6,0,0,3,2,1,5,0,0,0
632,C,W;A,Zaccagni,Lazio,23,6.41,7.43,7,0,0,2,2,0,6,7,0,0
2167,C,W,Orsolini,Bologna,17,6.41,7.82,7,0,0,2,2,0,3,0,0,0
6224,C,C,Reijnders,Milan,24,6.35,7.35,8,0,0,0,0,0,2,2,1,0
4777,C,M;C,McTominay,Napoli,23,6.37,7.13,6,0,0,0,0,0,1,3,0,0
5564,C,W,Ndoye,Bologna,20,6.35,7.15,5,0,0,2,2,0,2,2,0,0
1870,C,C,Barella,Inter,23,6.41,6.96,3,0,0,0,0,0,5,3,0,0
4220,C,M;C,Zambo Anguissa,Napoli,26,6.48,7.1,5,0,0,0,0,0,3,4,0,0
6875,C,T;A,Paz N.,Como,23,6.41,7.15,6,0,0,1,0,1,4,4,0,0
4662,C,W,Weah,Juventus,17,6.35,7.24,5,0,0,0,0,0,1,2,0,0
6831,C,W;A,Neres,Napoli,20,6.42,6.92,2,0,0,0,0,0,5,2,0,0
4486,C,W,Strefezza,Como,25,6.24,6.66,3,0,0,0,0,0,3,3,0,0
5562,C,M;C,Thuram K.,Juventus,22,6.36,6.77,2,0,0,0,0,0,4,2,0,0
5393,C,W;A,Man,Parma,24,6.06,6.73,4,0,0,0,0,0,4,0,0,0
4892,C,W,Saelemaekers,Roma,15,6.4,7.4,5,0,0,0,0,0,2,4,0,0
5792,C,M;C,Ederson D.s.,Atalanta,26,6.25,6.62,3,0,0,0,0,0,2,3,0,0
2194,C,M;C,Calhanoglu,Inter,17,6.29,6.91,4,0,0,4,3,1,3,3,0,0
2848,C,C;T,Frattesi,Inter,16,6.12,6.94,4,0,0,0,0,0,1,1,0,0
5875,C,M;C,Adli,Fiorentina,19,6.16,6.76,3,0,0,0,0,0,4,1,1,0
795,C,W,El Shaarawy,Roma,16,6.22,6.91,3,0,0,0,0,0,3,2,0,0
4349,C,M;C,Nicolussi Caviglia,Venezia,24,6.19,6.65,4,0,0,0,0,0,2,4,1,0
6629,C,C;T,Dele-Bashiru,Lazio,13,6.15,6.85,3,0,0,0,0,0,0,0,0,0
5687,C,T,Vlasic,Torino,20,6.08,6.62,3,0,0,1,1,0,2,0,0,0
6884,C,W;A,Conceicao,Juventus,18,6.19,6.72,3,0,0,0,0,0,3,3,1,0
22,C,M;C,De Roon,Atalanta,25,6.1,6.48,3,0,0,0,0,0,3,5,0,0
5119,C,T,Samardzic,Atalanta,22,6.16,6.39,2,0,0,0,0,0,0,2,0,0
6218,C,W;T;A,Oristanio,Venezia,26,6.1,6.38,2,0,0,0,0,0,3,3,0,0
